x,y
18.54,40.98
37.46,55.63
9.54,62.55
26.73,43.95
22.58,37.11
27,45.47
21.74,63
28.55,39.86
41.42,49.35
10.1,38.88
23.68,51.17
22.29,52.33
18.41,23.49
33.92,68.23
9.7,37.91
29.14,57.39
23.64,39.7
20.02,57.71
23.33,45.05
32.29,50.81
19.68,38.57
31.4,38.62
20.3,51.01
15.11,28.61
47.93,54.18
28.84,15.48
38.92,50.35
14.99,60.03
50.62,49.31
14.29,33.82
10.2,49.48
33.64,36.13
29.66,46.95
30.65,70.24
31.05,22.61
35.86,60.04
43.09,62.84
32.46,54.17
34.1,49.46
13.33,44.23
29.65,33.47
33.94,40.05
29.03,27.63
20.3,56.45
24.87,62.3
20.93,40.53
26.27,42.5
46.24,32.49
37.34,64.25
22.82,36.77
46.43,49.98
23.91,58.57
7.93,52.28
24.3,60.84
25.77,48.99
18.95,40.49
16.65,51.34
26.64,63.67
28.5,43.3
39.71,66.44
6.42,55.02
25.81,43.04
43.23,51.32
28.28,46.49
5.13,49.28
15.99,39.64
23.92,67.63
22,49.3
36.47,48.61
24.27,35.09
8.13,37.82
19.27,9.82
44.23,46.91
24.59,49.83
16.98,26.32
8.53,43.18
22.42,72.97
20.58,61.4
284.75,38.1
288.52,21.96
281.19,17.77
269.69,20.03
273.94,26.43
264.12,12.5
263.59,3.79
264.22,4.06
282.37,39.71
283.66,27.31
268.95,15.07
276.95,25.64
264.34,0.03
286.5,37.29
252.73,21.67
283.31,9.03
253.97,11.56
269.35,21.89
260.69,26.17
268.7,23.97
260.94,7.37
264.05,11
241.12,9.6
264.87,7.54
265.92,9.89
288.66,33.77
283.05,32.75
259.94,2.65
265.04,11.08
271.26,20.03
261.87,25.13
257.03,9
279.04,23.43
263.16,9.81
273.29,27.93
267.91,6.69
256.04,0.62
269.95,8.14
260.89,6.64
258.55,12.49
270.5,13.99
259.54,13.67
258.61,7.95
277.47,19.66
275.97,17.48
270.13,22.31
281.16,23.64
289.6,35.29
260.95,19.4
260.75,5.77
278.18,15.55
273.49,15.16
280.54,18.22
271.28,22.57
274.6,11.43
262.89,21.7
266.86,15.91
278.05,23.63
249.51,14.26
285.75,14.4
263.61,27.18
274.43,24.05
276.07,23.8
283.34,19.82
254.61,17.16
267.48,14.45
248.67,22.26
279.96,22.14
284.62,20.71
265.12,4.78
288.78,45.04
266.87,22.18
265.88,18.96
257.08,6.78
254.66,18.44
271.41,18.79
273.18,30.06
245.38,8.44
264.51,25.86
277.81,27.17
271.31,33.78
253.09,7.1
268.65,13.72
275.17,20.45
274.45,15.78
268.58,9.03
281.04,25.51
272.43,11.5
283.63,23.29
269.96,27.97
256.4,12.97
257.97,4.94
280.32,20.33
263.55,16.34
286.92,19.41
272.79,29.77
280.57,18.88
261.58,11.6
283.07,42.76
274.29,19.5
262.09,6.39
283.13,32.25
271.57,14.6
265.97,16.81
261.12,7.82
260.98,3.38
262.67,9.83
265.87,26.79
276.33,18.41
270.6,24.61
273.71,26.13
264.27,14.37
289.84,23.45
260.04,16.84
261.41,20.24
261.83,18.33
266.4,19.23
287.96,27.11
270.67,13.15
250.76,18.45
267.19,19.69
268.3,15.88
274.32,25.07
285.59,27.82
259.33,8.4
254.87,9.53
248.99,3.32
262.71,13.1
284.86,27.85
276.45,19.77
262.12,24.95
273.2,19.72
262.36,14.78
278.96,30.97
275.58,24.88
250.74,5.38
250.34,5.51
248.95,14.4
254.26,14.04
280.57,16.71
271.49,11.75
262.87,15.65
260.22,4.47
256.27,19.94
274.59,6.66
285.06,36.15
251.09,8.78
273.32,16.88
283.14,38.58
265.07,22.02
263.17,4.4
280.29,31.95
251.52,2.02
274.16,4.98
278.04,12.58
286.64,36.55
257.54,11.78
279.57,8.45
260.71,6.72
276.76,18.79
259.95,12.21
266.15,25.19
256.92,22.73
272.37,11.01
278.27,21.37
258.15,11.48
255.15,6.95
265.71,2.96
266.63,13.16
286.64,20.9
257.52,3.93
261.23,19.69
269.52,14.51
284.6,10.78
273.88,12.5
282.23,37.95
284.13,22.33
271.28,26.5
266.66,21.11
275.98,14.53
260.07,27.97
281.15,23.9
273.67,16.82
270.8,21.54
279.41,24.26
270.75,10.3
265.85,14.95
257.34,14.48
253.47,19.62
272.5,26.75
254.92,9.84
274.41,26.36
273.84,9
267.18,12.55
269.91,15.49
263.47,14.81
272.9,23.17
273.41,2.52
262.3,13.08
274.14,30.35
270.06,31.06
268.81,19.93
265.99,18.71
282.45,29.53
275.13,20.22
277.7,28.55
268.54,2.07
277.43,37.03
265.86,10.45
287.77,23.97
249.39,4.33
262.83,5.44
258.56,17.37
277.72,25.83
285.13,29.21
269.55,12.32
270.74,4.4
289.3,29.21
241.93,27.26
268.89,12.48
281.22,37.51
275.83,35.43
264.33,17.62
275.26,8.02
277.12,26.94
276.36,1.16
254.36,5.63
279.59,29.7
273.82,14.53
250.85,13.41
286.29,24.42
276.35,14.16
252.13,7.11
277.88,17.66
275.3,15.12
282,18.09
260.61,6.32
279.91,34.35
264.34,15.41
266.01,13.62
275.29,15.47
271.56,11.43
268.57,4.62
258.43,14.57
275.45,22.9
265.91,6.62
274.22,26.26
275.2,24.8
263.87,18.85
261.22,2.54
265.24,9.45
275.38,5.3
271.96,18.01
259.22,11.24
267.34,18.18
269.62,3.69
268.92,9.73
284.74,24.25
259.11,12.34
240.37,7.31
234.76,5.29
270.77,19.25
274.52,17.28
254.57,5.16
263.19,13.83
247.75,7.33
270.15,8.84
275.37,5.6
254.89,8.23
273.28,33.33
279.22,32.68
259.75,7.19
269.55,4.45
281.38,19.23
276.31,18.12
273.91,15.86
273.2,27.18
268.08,12.53
254.01,21.46
277.47,29.22
259.55,14.38
248.33,22.31
255.53,6.69
253.56,4.43
273.91,32.26
265.96,16.9
270.18,27.32
277.19,28.67
270.66,27.32
284.59,15.47
255.08,13.35
270.96,11.52
253.57,0.38
272.17,13.68
287.24,11.59
284.07,30.62
274.25,10.3
263.7,15.45
250.69,18.19
266.44,2.38
240.59,3.29
280.24,15.54
289.1,14.47
270.55,3.86
266.6,38.65
263.04,13.75
267.98,14.93
262.55,28.3
289.02,50.73
282.63,40.17
271.23,5.9
251.99,20.44
251.04,9.03
273.88,7.03
272.62,4.62
269.84,13.35
261.73,24.42
277.28,35.08
251.69,1.23
248.29,5.86
257.33,18.44
257.49,7.51
274.63,25.68
251.71,19.37
283.15,12.11
255.68,0.87
284.82,16.89
249.97,4.58
259.81,7.35
284.8,32.58
265.21,25.12
269.91,0.2
280.6,17.68
271.26,7.29
263.99,10.3
281.97,24.86
265.45,17.64
289.36,21.12
253.48,5.65
280.09,23.84
243.82,9.44
239.16,5.79
273.88,38.59
274.85,15.93
267.16,16.99
267.79,6.36
263.19,17.54
272.77,24.53
284.99,24.78
260.38,8.11
282.51,26.63
256.23,2.77
282.53,9.73
282.83,52.05
276.82,29.93
280.29,27.41
273.22,3.31
270.77,20.46
266.71,27.62
283.42,44.67
276.61,20.27
284.34,16.11
271.44,28.48
260.88,14.33
271.99,31.01
258.37,8.06
272.21,13.83
279.03,19.21
264.82,4.85
280.05,34.11
265.76,13.44
269.89,11.87
253.85,12.97
275.15,23.2
259.67,17.19
267.4,13.64
265.03,29.77
270.89,36.61
285.61,29.65
260.59,9.2
274.24,19.82
282.15,14.17
274.5,15.64
265.21,10.93
277.94,21.32
260.17,0.79
269.94,22.08
266.2,9.95
270.14,0.73
270.38,15.43
277.52,4.24
259.16,10.84
286.5,28.94
267.82,1.47
266.45,14.26
248.37,9.44
276.52,20.34
263.66,17.15
271.02,20.88
263.56,4
254.9,11.26
279.16,27.85
275.51,9.1
268.11,12.61
281.96,11.23
263.88,25.78
266.01,4.21
251.98,11.7
265.52,19.25
289.52,41.34
275.99,11.82
261.87,15.03
267.53,1.91
259.35,16.37
264.78,7.17
271.61,14.57
280.89,0.67
247.11,9.17
266.59,11.32
264.11,22.89
268.09,20.15
270.71,21.05
274.95,14.94
258.87,1.13
276.55,14.83
265.13,13.78
280.78,42.01
257.93,13.75
263.93,3.56
280.36,8.52
261.58,8.7
274.57,25.52
252.5,10.25
264.66,9.03
263,19.22
272.72,20.03
244.68,7.17
280.27,13.73
263.36,8.62
258.58,13.24
270.49,26.33
280.75,23.61
254.76,3.4
261.14,18.83
261.48,15.28
264,24.84
257.63,5.31
271.95,7.95
278.86,43.53
274.34,25.6
254.26,12.01
277.82,21.4
277.64,21.22
249.15,16.9
252.23,11.12
278.09,13.64
274.35,28.03
261.08,9.29
286.63,36.38
270.53,19.95
252.17,8.28
257.06,1.48
272.23,8.75
267.97,22.67
266.16,20.01
261.34,22.07
242.36,10.58
253,16.1
273.8,25.56
278.54,32.93
283.58,20.78
259.32,0.51
279.92,23.03
260.2,13.12
252.78,9.25
289.02,26.81
286.02,28.91
265.61,28.48
276.59,14.89
260.44,1.98
275.35,21.76
267.52,15.74
275.26,12.6
280.37,12.31
270.45,9.41
276.66,13.14
272.19,5.38
279.77,19.91
248.48,4.54
261.62,7.3
284.95,12.25
277.58,26.01
257.95,21.83
279.66,25.96
244.33,2.9
264.47,13.57
283.36,31.62
273.6,10.25
252.36,20.4
266.37,10.58
288.33,19.61
264,18.88
271.28,8.08
277.67,18.67
269.29,30.16
252.76,2.03
180.34,31.4
153.62,36.27
214.18,21.78
196.5,41.9
175.91,28.83
144.45,22.04
193.76,51
215.45,19.98
188.16,33.03
250.1,35.69
177.89,33.41
201.34,0.04
165.75,41.44
151.07,32.4
183.94,8.42
165.05,11.04
185.82,17.71
165.74,10.17
210.08,4.92
238.12,34.58
218.06,38.85
199.02,15.66
160.76,15.19
163.11,20.8
206.62,33.81
219.68,36.86
242.56,46.34
174.43,13.62
223.89,37.72
209.14,35.31
175,10.26
208.82,36.83
195,30.26
146.21,4.75
131.13,15.36
184.16,22.66
211.92,39.3
208.77,61.62
193.91,27.37
184.04,7.99
184.28,44.82
179.16,16.03
198.25,51.14
233.61,44.67
183.8,2.13
198.02,38.2
198.09,47.34
190.6,42.59
201.83,28.62
183.51,8.97
162.13,36.73
190.94,37.55
167.74,22.43
234.98,34.97
161.41,21.3
191.33,29.49
165.55,26.41
202.29,29.35
184.15,53.66
206.46,38.32
230.14,58.74
204.24,36.11
206.71,47.91
212.27,28.41
186.77,26.54
213.62,46.91
196.48,32.91
190.87,16.99
212.21,17
143.54,5.1
163.46,41.15
204.44,11.76
184.64,37.11
183.67,6.47
193.11,27.94
162.51,16.99
134.97,4.67
173.31,41.72
182.84,35.64
194.91,36.92
182.06,20.25
199.2,38.76
206.58,28.63
181.58,22.8
173.74,10.72
194.89,12.27
169.91,5.12
178.25,14.39
182.45,19.79
219.89,49.19
186.79,11.76
223.81,39.33
186.89,7.64
245.51,60.01
202.02,13.11
207.72,16.14
195.78,26.35
188.54,26.53
229.96,25.32
203.33,52.84
130.24,19.08
169.51,26.61
199.85,26.26
155.77,6.59
220.73,57.06
170.23,20.82
164.62,27.88
240,46.01
179.27,31.59
161.32,20.86
163,11.08
225.24,28.17
245.22,58.69
203.95,37.24
218.98,40.47
198.41,31.54
183.56,10.81
228.78,45.99
184.03,35.78
131.33,13.73
196.63,40.61
192.62,6.8
186.78,10.09
176.1,34.79
247.29,62.58
203.7,25.69
199.05,31.25
141.5,15.84
204.99,20.57
149.09,53.6
203.09,42.6
264.18,49.47
155.66,22.85
203.15,37.57
210.94,40.14
188.69,35.33
151.62,28.38
210.42,11.07
220.16,24.09
158.06,2.14
133.27,1.4
191.18,28.14
165.58,15.27
222.19,23.97
194.85,32.28
194.92,40.31
175.46,16.52
193.92,39.96
211.85,45.06
168.25,27.12
206.68,2.2
166.71,41.75
226.98,73.86
226.93,29.3
225.13,20.03
213.15,32.52
201.52,44.8
173.79,29.9
218.19,39.01
183.25,38.48
221.05,47.16
205.9,25.08
166.06,26.73
168.19,33.61
200.66,21.14
163.3,15.69
186.51,6.5
162.39,21.26
229.66,49.64
245.27,45.32
185.19,42.04
217.73,22.99
237.73,66.91
230.46,28.22
216.64,7.17
158.42,10.45
271.91,20.84
234.48,64.17
182.28,32.28
224.17,48
243.01,51.54
266.95,59.21
267.69,53.23
252.62,38.26
246.23,63.85
255.65,53.98
254.53,54.65
250.66,63.52
250.28,71.24
240.88,57.42
249.13,55.92
263.48,48.32
262.65,63.47
253.3,59.7
244.27,58.53
255.23,49.71
258.49,50
250.56,49.86
256.28,52.2
249.39,51.99
264.01,51.71
264.89,57.75
257.76,51.42
242.88,59.47
257.5,51.67
264.47,64.48
249.28,59.78
253.04,60.54
242.84,51.55
243.96,61.26
246.11,52.69
242.98,57.49
234.92,46.75
262.71,45.76
242.23,53.41
264.76,68.32
248.08,61.91
248.33,50.17
248.01,55.82
263.19,41.8
266,42.43
267.89,61.2
240.91,56.06
245.38,52.67
250.5,67.32
255.89,64.94
255.06,48.24
257.9,53.29
258.27,61.33
247.44,67.74
246.11,47.28
258.31,43.73
252.06,60.25
241.11,55.33
248.48,60.21
246.26,52.38
266.55,37.11
257.87,66.06
257.21,62.13
261.06,51.57
261.52,54.84
258.36,54.13
236.63,62.01
253.47,45.72
258.3,39.65
253.05,53.26
255.53,56.07
253.39,55.18
259.83,54.29
250.99,62.22
249.06,71.59
264.94,52.57
252.81,63.94
247.41,55.58
265.1,47.78
248.68,67.05
263.06,70.55
248.25,43.93
258.91,52.4
257.01,56.94
250.24,91.41
189.26,74.06
215.75,113.52
240.77,98.39
231.25,104.95
229.3,111.05
219.83,104.17
244.49,112.97
257.74,127.98
255.61,138.71
206.01,101.77
202.55,105.05
273.32,110.71
262.85,116.75
219.85,105.39
208.92,101.17
231.78,109.01
217.03,114.24
214.39,112.11
244.63,97.95
210.86,109
244.09,136.1
282.82,121.13
194.48,92.94
265.56,99.64
252.81,103.29
213.26,99.51
233.34,131.57
188.22,103.65
237.27,110.62
232.44,104.08
229.51,105.31
224.15,116.71
222.78,132.05
256,128.73
220.92,109.65
230.07,114.57
258.08,109.02
227.41,116.56
120.32,105.81
154.03,97.08
154.62,40.73
149.39,87.92
129.28,108.88
156.67,76.39
163.54,78.14
151.78,92.83
142.25,108.09
130.39,114.35
129.22,47.5
125.22,64.62
133.26,93.69
144.96,68.97
138.89,86.82
149.25,123.07
91.21,89.71
134.1,114.56
136.09,81.2
124.14,97.24
100.34,48.44
89.79,43.62
100.57,58.52
94.32,48.32
107.82,59.03
93.68,39.86
107.84,47.39
106.17,51.6
15.73,123.92
30.69,121.23
41.09,122.79
12.09,119.41
24.65,122.56
21.66,123.1
25.46,133.92
37.55,104.91
